model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_160,3337,0.8808238867702075,0.6686017155417683,0.33139828445823166,0.9810153564269323,0.3203125
model_trial_161,4533,0.8979913591862524,0.7367728827088266,0.26322711729117343,0.9806827699015241,0.390625
model_trial_162,4845,0.938891196840733,0.8210230966224327,0.17897690337756733,0.9805708998884324,0.6640625
model_trial_163,4545,0.8704880468261886,0.5871119697890494,0.41288803021095055,0.9800931846973916,0.453125
model_trial_164,5197,0.923011024952435,0.7835466422366746,0.2164533577633254,0.9804439123060038,0.375
model_trial_165,6325,0.9483731435147719,0.8422058347770612,0.1577941652229388,0.9801990076827487,0.359375
model_trial_166,5837,0.6499332115846159,0.12688780647092435,0.8731121935290757,0.9877970980313902,-0.578125
model_trial_167,717,0.905118716167871,0.7446703009303353,0.2553296990696648,0.9803018071542385,0.3125
model_trial_168,4557,0.941181612997303,0.8308434696635736,0.1691565303364264,0.9808551101919629,0.5625
model_trial_169,2673,0.41428394817137515,0.0,1.0,1.0,-1.0
model_trial_171,1961,0.8998912501744916,0.7539766766140272,0.24602332338597271,0.9810365210240036,0.4453125
model_trial_172,4569,0.9436404063805102,0.8430373010905814,0.15696269890941855,0.9806736993599221,0.4921875
model_trial_173,7121,0.9425477312900317,0.8334678797004302,0.16653212029956976,0.9803894890563916,0.328125
model_trial_174,4021,0.8978908563451473,0.7395424214113158,0.2604575785886842,0.9808672042474322,0.40625
model_trial_175,1369,0.9330790543589984,0.8169655410124539,0.18303445898754614,0.9800024792813712,0.3203125
model_trial_176,6269,0.9274500971968603,0.7932339806676523,0.20676601933234767,0.9806102055687078,0.3125
model_trial_177,4761,0.9371918200574925,0.8315298073114612,0.16847019268853877,0.980655558276718,0.359375
model_trial_178,7121,0.9065820600068774,0.7733483299621153,0.22665167003788464,0.980646487735116,0.5546875
model_trial_179,3325,0.9413582692506925,0.8393939668804291,0.1606060331195709,0.980725099095667,0.5
model_trial_180,4705,0.8433017991424813,0.6040255063629849,0.3959744936370151,0.9803532068899834,0.3046875
model_trial_181,5873,0.907655812673943,0.7807891975896547,0.21921080241034527,0.9808702277612996,0.5703125
model_trial_182,5245,0.9034606985689079,0.7375922549668774,0.2624077450331226,0.9801143492944631,0.46875
model_trial_183,6325,0.8925715848404001,0.7708660250770241,0.229133974922976,0.9801597020024733,0.5859375
model_trial_184,2033,0.9290029670939839,0.7617622248224442,0.23823777517755584,0.9808430161364935,0.328125
model_trial_186,4077,0.9308259706285549,0.8209233206648102,0.17907667933518978,0.9808097574839527,0.578125
model_trial_187,2457,0.8750170755855212,0.654648199043965,0.34535180095603507,0.9810546621072077,0.453125
model_trial_188,3365,0.9416583984108186,0.8475302426974581,0.15246975730254186,0.9802111017382181,0.515625
model_trial_189,4521,0.8884429987315899,0.7539071357950783,0.24609286420492169,0.9807523107204731,0.46875
model_trial_190,1745,0.931654508359528,0.8257669898802991,0.1742330101197009,0.9800115498229732,0.4765625
model_trial_191,4873,0.9426625448779539,0.82210853810081,0.17789146189919,0.98017481957181,0.5390625
model_trial_192,3289,0.9153477880047712,0.7815269349732873,0.21847306502671274,0.9809851212882588,0.53125
model_trial_193,3169,0.938411260849179,0.8179058538251985,0.18209414617480144,0.9811997907728404,0.5
model_trial_194,6241,0.8742453610258916,0.6739714761701754,0.32602852382982456,0.9800689965864529,0.5546875
model_trial_195,2685,0.3935724953877532,0.0,1.0,1.0,-1.0
model_trial_196,2429,0.9394791031285448,0.8236565772008914,0.17634342279910867,0.9803380893206467,0.6484375
model_trial_197,4545,0.9040229254843954,0.7300697524649197,0.2699302475350803,0.9807220755817997,0.453125
model_trial_198,5473,0.9013755650775621,0.7718365730284422,0.2281634269715578,0.9803713479731875,0.6328125
model_trial_199,3253,0.9070693263701799,0.7440293159904579,0.2559706840095422,0.9803653009454528,0.4375
model_trial_200,729,0.45129608751453726,0.006712200785508937,0.9932877992144911,0.9809972153437282,-0.4921875
model_trial_201,4733,0.9310412913724343,0.8122035066713833,0.18779649332861664,0.9801808665995446,0.453125
model_trial_202,3893,0.9411956389867264,0.8229883806362078,0.1770116193637922,0.9804469358198712,0.5859375
model_trial_203,3917,0.9068708437201148,0.7671289619369839,0.23287103806301607,0.9810969913013506,0.4375
model_trial_204,4049,0.9070207394473029,0.7602293032916996,0.23977069670830045,0.9810274504824016,0.4375
model_trial_205,4761,0.5669774734049449,0.0,1.0,1.0,-1.0
model_trial_206,1393,0.8626459881406623,0.7044757075778327,0.2955242924221672,0.9802806425571671,0.3046875
model_trial_207,1345,0.8541015559742771,0.6424815792417632,0.3575184207582368,0.9805255471804222,0.1875
model_trial_208,1689,0.8820013723338009,0.6505422672121086,0.34945773278789144,0.9799994557675039,0.34218597412109375
model_trial_209,3277,0.49999395294484045,0.0,1.0,1.0,0.546875
model_trial_210,1061,0.9297802676549268,0.7986400234624677,0.20135997653753238,0.9803562304038508,0.5
model_trial_211,1633,0.9276529466602272,0.7970919843623863,0.2029080156376137,0.981178626175769,0.6875
model_trial_212,4569,0.9289313209516689,0.7817325339162668,0.21826746608373318,0.9800689965864529,0.34375
model_trial_213,2601,0.8215588229998494,0.5946193547216705,0.40538064527832957,0.9804046066257283,0.3359375
model_trial_214,6409,0.36420169396528024,0.0,1.0,1.0,-1.0
model_trial_215,5197,0.8996638888811389,0.7769251468671861,0.2230748531328139,0.98017481957181,0.3046875
model_trial_216,4817,0.8983231912752868,0.7554279632703536,0.24457203672964645,0.9804408887921364,0.40625
model_trial_217,5801,0.5431959379021195,0.06393522423890596,0.936064775761094,0.9813177078136669,-0.0625
model_trial_218,1033,0.926173794857242,0.8047142628219665,0.19528573717803357,0.9802171487659528,0.3515625
model_trial_219,2601,0.9070870445750103,0.7508624573306606,0.24913754266933946,0.9806978874708608,0.46875
model_trial_220,2401,0.936931123518401,0.8142474020457094,0.18575259795429053,0.9802927366126365,0.625
model_trial_221,729,0.6310207509141689,0.10461962683791848,0.8953803731620815,0.9852240877302784,-0.2734375
model_trial_222,4789,0.9037268185298855,0.7711955880885648,0.22880441191143522,0.9807674282898099,0.5
model_trial_223,2033,0.9402906297236738,0.8159466168391581,0.18405338316084185,0.9805860174577691,0.359375
model_trial_224,3917,0.866910615694588,0.5746762572526538,0.42532374274734613,0.9809881448021261,0.390625
model_trial_225,5161,0.8863851808831569,0.7541218052796599,0.2458781947203401,0.980864180733565,0.3046875
model_trial_226,4873,0.9432860695351223,0.8499490537913352,0.1500509462086648,0.9802776190432998,0.4921875
model_trial_227,4105,0.9384507186279959,0.811039453832455,0.18896054616754498,0.9802685485016978,0.3515625
model_trial_228,1321,0.9347696089788898,0.8087567008626085,0.1912432991373915,0.9808369691087588,0.421875
model_trial_229,2513,0.8843026478536138,0.7200286629114625,0.27997133708853755,0.9801203963221977,0.6484375
model_trial_230,6353,0.9491724919011004,0.8462875784979788,0.15371242150202122,0.9806343936796467,0.5390625
model_trial_231,1033,0.9226453616427654,0.8313574670210224,0.16864253297897752,0.9806434642212486,0.3671875
model_trial_232,3253,0.8884194076471927,0.7366700832373367,0.2633299167626632,0.9802594779600957,0.1796875
model_trial_233,4901,0.93240772366208,0.8007474126280081,0.19925258737199197,0.9805890409716365,0.3359375
model_trial_234,5873,0.9414305277592145,0.8289295853855434,0.17107041461445663,0.9808248750532894,0.453125
model_trial_235,5641,0.9430673154395455,0.8447123277730914,0.15528767222690867,0.9803743714870549,0.421875
model_trial_236,1961,0.8457626331628374,0.6418678059266919,0.3581321940733081,0.9812088613144424,0.6640625
model_trial_237,5557,0.9447760415614352,0.8378005750723376,0.16219942492766243,0.9804620533892079,0.5859375
model_trial_238,5837,0.8892279119122963,0.7205003310747684,0.27949966892523154,0.9805618293468303,0.53125
model_trial_239,3917,0.934756414380133,0.8278804260735741,0.17211957392642582,0.9808702277612996,0.5078125
model_trial_240,5557,0.941681119426287,0.8220178326847896,0.17798216731521038,0.9804167006811977,0.46875
model_trial_241,3277,0.8966657404257664,0.770856954535422,0.22914304546457803,0.9803894890563916,0.484375
model_trial_242,4733,0.9405500974029027,0.8278743790458395,0.1721256209541605,0.9823638436117688,0.5
model_trial_243,4705,0.9248764030830846,0.7938689185797951,0.20613108142020492,0.9803290187790447,0.609375
model_trial_244,2485,0.884178878236794,0.68849341327504,0.31150658672496,0.9813388724107384,0.40625
model_trial_245,3265,0.9323805586641888,0.8174190680925558,0.1825809319074442,0.9806313701657793,0.5625
model_trial_246,1321,0.8353925305449552,0.6428534714474468,0.3571465285525532,0.9801657490302079,0.3984375
model_trial_247,2649,0.89259602562159,0.7765139489812269,0.223486051018773,0.9801022552389936,0.1640625
model_trial_248,3301,0.4701953779715418,0.014400996550170686,0.9855990034498293,0.985623191560768,-0.984375
model_trial_249,6269,0.9286291100170313,0.7802086829271242,0.21979131707287575,0.9802322663352896,0.5078125
model_trial_250,4545,0.4283884620915003,0.0,1.0,1.0,-1.0
model_trial_251,5161,0.5984084532382679,0.08146253412791282,0.9185374658720872,0.9810365210240036,-0.5078125
model_trial_252,1393,0.5355242423905412,0.0,1.0,1.0,-1.0
model_trial_253,1773,0.9251245368750235,0.7636065682815254,0.23639343171847457,0.9807281226095343,0.328125
model_trial_254,3277,0.4504844484041511,0.0,1.0,1.0,-1.0
model_trial_255,4049,0.9248838826691885,0.8236716947702281,0.17632830522977194,0.9801355138915344,0.3125
